phenotype_name	source	concept_id	value_field	plausible_min	plausible_max	notes
height	measurement	3036277		100	250	Body height, standard OMOP concept, confirmed. Range in cm.
weight	measurement	3025315		20	300	Body weight, standard OMOP concept, confirmed. Range in kg.
bmi	measurement	3038553		10	100	Body mass index (BMI) [Ratio], LOINC 39156-5, confirmed. Range in kg/m^2.
systolic_bp	measurement	3004249		60	260	Systolic blood pressure, confirmed. Range in mmHg.
diastolic_bp	measurement	3012888		30	150	Diastolic blood pressure, LOINC 8462-4, confirmed. Range in mmHg.
glucose	measurement	3004501		20	600	Glucose [Mass/volume] in Serum or Plasma, LOINC 2345-7, confirmed. Range in mg/dL.
hba1c	measurement	3004410		3	20	Hemoglobin A1c/Hemoglobin.total in Blood, LOINC 4548-4, confirmed. Range in % (NGSP).
hdl_cholesterol	measurement	3007070		5	150	Cholesterol in HDL [Mass/volume] in Serum or Plasma, LOINC 2085-9, confirmed via CDR query (concept_relationship 'Maps to', domain=Measurement, standard=S): n=198,313 persons. Range in mg/dL.
ldl_cholesterol	measurement	3028288		10	400	Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation, LOINC 13457-7, confirmed via CDR query: n=153,909 persons. Range in mg/dL.
triglycerides	measurement	3022192		10	3000	Triglyceride [Mass/volume] in Serum or Plasma, LOINC 2571-8, confirmed via CDR query: n=198,673 persons. Range in mg/dL.
waist_circumference	measurement	903135		40	250	Original LOINC 8280-0 (concept_id 3016258) is confirmed correct/standard but essentially unusable: CDR query found only 22 persons total, since AoU's Physical Measurements module apparently doesn't populate that LOINC in practice. concept_id 903135 is a candidate replacement -- AoU's own Physical Measurements module PPI-style concept_id for waist circumference, not yet independently confirmed against this CDR version (run query_filter_check.ipynb's Step 1 concept check -- concept_name/domain/n_persons -- before trusting a real pull). If this resolves with real coverage, it would also explain why the generic LOINC concept was empty: AoU may record this field under its own PPI concept rather than the standard EHR-sourced LOINC one. Range in cm.
hip_circumference	measurement	903136		40	250	LOINC 8286-7 is CONFIRMED WRONG via CDR query -- maps to concept_id 3002630, 'Thigh - right Maximum circumference', n_rows=0. concept_id 903136 is a candidate replacement -- AoU's own Physical Measurements module PPI-style concept_id for hip circumference (same reasoning as waist_circumference's 903135 above), not yet independently confirmed against this CDR version -- run query_filter_check.ipynb's Step 1 concept check before trusting a real pull. Range in cm.
heart_rate	measurement	3027018		20	220	Heart rate, LOINC 8867-4, confirmed via CDR query: n=464,639 persons -- largest cohort of any row here. Range in bpm. In-clinic single-reading pulse, Physical Measurements module -- distinct from fitbit_resting_heart_rate below.
total_cholesterol	measurement	3027114		50	500	Cholesterol [Mass/volume] in Serum or Plasma, LOINC 2093-3, confirmed via CDR query: n=204,415 persons. Range in mg/dL.
creatinine	measurement	3016723		0.1	15	Creatinine [Mass/volume] in Serum or Plasma, LOINC 2160-0, confirmed via CDR query: n=285,099 persons. Range in mg/dL.
hemoglobin	measurement_unit_normalized	3000963		3	20	Hemoglobin [Mass/volume] in Blood, LOINC 718-7, confirmed via CDR query: n=280,701 persons. Range in g/dL. unit_source_value's free-text label is unreliable, even for its own dominant group -- confirmed via query_filter_check.ipynb's hemoglobin appendix: the group literally labeled "g/dL" (261,417 of 280,701 persons) has its own median value of 124, i.e. actually g/L. unit_concept_id is the reliable signal instead -- every sizeable group shares unit_concept_id 8636 ("gram per liter") regardless of what the source-text label says, so pull_phenotype()'s `measurement_unit_normalized` path divides by 10 wherever unit_concept_id = 8636 and leaves unit_concept_id 0/NA (genuinely unknown unit) as reported. Confirmed against the real CDR: drops the implausible-range exclusion rate on this concept from ~90% to ~1% on the full unrestricted cohort.
wbc_count	measurement	3000905		0.5	100	Leukocytes [#/volume] in Blood by Automated count, LOINC 6690-2, confirmed via CDR query: n=262,563 persons. Range in x10^3/uL.
platelet_count	measurement	3024929		5	1000	Platelets [#/volume] in Blood by Automated count, LOINC 777-3, confirmed via CDR query: n=262,037 persons. Range in x10^3/uL.
rbc_count	measurement	3020416		1	10	Erythrocytes [#/volume] in Blood by Automated count, LOINC 789-8, confirmed via v9 CDR query (concept_relationship 'Maps to', domain=Measurement, standard=S): n=351,005 persons. Range in x10^6/uL.
hematocrit	measurement	3023314		10	70	Hematocrit [Volume Fraction] of Blood by Automated count, LOINC 4544-3, confirmed via v9 CDR query: n=317,705 persons. Range in %.
mch	measurement	3012030		10	50	Mean corpuscular hemoglobin [Entitic mass] by Automated count, LOINC 785-6, confirmed via v9 CDR query: n=342,793 persons. Range in pg.
mcv	measurement	3023599		50	150	Mean corpuscular volume [Entitic volume] by Automated count, LOINC 787-2, confirmed via v9 CDR query: n=344,102 persons. Range in fL.
mchc	measurement	3009744		20	45	Mean corpuscular hemoglobin concentration [Mass/volume] by Automated count, LOINC 786-4, confirmed via v9 CDR query: n=352,170 persons. Range in g/dL.
neutrophil_count	measurement	3013650		0	50	Neutrophils [#/volume] in Blood by Automated count, LOINC 751-8, confirmed via v9 CDR query: n=288,009 persons. Range in x10^3/uL.
lymphocyte_count	measurement	3004327		0	50	Lymphocytes [#/volume] in Blood by Automated count, LOINC 731-0, confirmed via v9 CDR query: n=288,048 persons. Range in x10^3/uL.
monocyte_count	measurement	3033575		0	20	Monocytes [#/volume] in Blood by Automated count, LOINC 742-7, confirmed via v9 CDR query: n=277,907 persons. Range in x10^3/uL.
basophil_count	measurement	3013429		0	5	Basophils [#/volume] in Blood by Automated count, LOINC 704-7, confirmed via v9 CDR query: n=274,610 persons. Range in x10^3/uL.
eosinophil_count	measurement	3028615		0	20	Eosinophils [#/volume] in Blood by Automated count, LOINC 711-2, confirmed via v9 CDR query: n=283,278 persons. Range in x10^3/uL.
alt	measurement	3006923		1	500	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma, LOINC 1742-6, confirmed via CDR query: n=243,311 persons. Range in U/L.
waist_hip_ratio	derived_ratio	UNCONFIRMED,UNCONFIRMED		0.5	2.0	PENDING: waist_circumference/hip_circumference above were just updated to candidate PPI concept_ids (903135/903136) that haven't been verified against this CDR version yet -- re-evaluate this row (currently UNCONFIRMED,UNCONFIRMED) once those two are confirmed or rejected via query_filter_check.ipynb's Step 1; set to "903135,903136" here only after both individually show real coverage. Not a single measurement -- waist_circumference / hip_circumference for the same person, ideally same visit. concept_id holds both underlying concept_ids (waist,hip, in that order), matching waist_circumference/hip_circumference above once those are confirmed. source == 'derived_ratio' is NOT wired up in pull_phenotype() -- needs a new code path that pulls both concept_ids, joins on person_id (and nearest measurement_date, not just 'most recent value' independently for each, or the pairing could mix measurements from different visits), and computes the ratio; a materially different shape than every other row here. Body-fat-distribution trait, genetically partly distinct from BMI/overall adiposity -- WHR adjusted for BMI (WHRadjBMI) is the more standard GWAS phenotype in the literature (GIANT consortium) and shows notably stronger genetic signal in women than men; adjusting for BMI isn't implemented here (would mean using bmi as a regression covariate for another phenotype, not currently how pull_covariates()/build_covariate_sets() work) but is worth keeping in mind if this trait's results look unexpectedly weak or sex-inconsistent.
